"From","From Address","To","To Address","Departure Date","Departure Time","Arrival Date","Arrival Time","Driving Time","Distance","Total Driving Time","Total Distance","Notes"
"Monroe County Fairgrounds","Monroe, MI","Left on Lagrange Street","Toledo, OH","2025-06-13","09:00","2025-06-13","09:24","24m","20.1","24m","20.1",""
"Left on Lagrange Street","Toledo, OH","Left on Navarre Avenue","Dearborn Avenue, Oregon, OH","2025-06-13","09:29","2025-06-13","09:37","7m","6.2","32m","26.2",""
"Left on Navarre Avenue","Dearborn Avenue, Oregon, OH","Exit 156 towards OH-60","Sassafras Drive, Vermilion, OH","2025-06-13","09:42","2025-06-13","10:52","1h 10m","70.9","1h 42m","97.1",""
"Exit 156 towards OH-60","Sassafras Drive, Vermilion, OH","Right onto OH-60 South","Vermilion, OH","2025-06-13","10:57","2025-06-13","10:57","","0.3","1h 42m","97.4",""
"Right onto OH-60 South","Vermilion, OH","Right onto US-20 W / E Main St","East Main Street, Wakeman, OH","2025-06-13","11:02","2025-06-13","11:19","16m","10.4","1h 59m","107.8",""
"Right onto US-20 W / E Main St","East Main Street, Wakeman, OH","Summit Motorsports Park","Norwalk, OH","2025-06-13","11:19","2025-06-13","11:31","12m","9.5","2h 11m","117.4",""
